round,draw_date,expert,effective_weight,standalone_top7_hits,standalone_actual_mass,standalone_log_score,standalone_brier,standalone_mass_edge_vs_uniform,standalone_log_edge_vs_uniform,standalone_brier_improvement_vs_uniform,exact_weighted_mass_contribution_vs_uniform,loo_top7_hits,loo_actual_mass,loo_log_score,loo_brier,loo_top7_hit_penalty,loo_mass_penalty,loo_log_penalty,loo_brier_penalty,loo_top7_members_changed,loo_top7_jaccard,full_top7_hits,full_actual_mass,full_log_score,full_brier,full_mass_edge_vs_uniform,full_log_edge_vs_uniform,full_brier_improvement_vs_uniform,trusted,source_verification,frozen_at_jst,expert_q_sha256,loo_q_sha256,final_q_sha256,protocol_version
693,2026-09-04,hot_20,0.15708360028533763,1.0,0.297668801886909,-3.62688320815029,0.11536470497737644,0.10847961269771975,-0.015965295506065402,0.0004654108527393924,0.013632294496093484,2.0,0.30202441279743586,-3.423457495461951,0.10349357330485172,0.0,-0.004092268667291177,-0.020871541422314177,-0.000847670747060339,1,0.75,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,9b901cd65173a40ea9ae42b21145e5110b0ed3ab9134a33cca11a576898e4f8d,38ec4107a48ff71e6a431f4e7e06901e1a904d5587a030006f237fde03d5854e,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,hot_50,0.025163401045681627,4.0,0.48678300383514533,-3.2722725780343707,0.11024305999176327,0.29759381464595613,0.33864533460985413,0.0055870558383525615,0.0059907780053203505,2.0,0.2945937021566494,-3.4522475099052192,0.10486025339210371,0.0,0.0033384419734953097,0.007918473020954053,0.0005190093401916535,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,33caf9ee721638a2dd00c6cb0d1ce4e4c1fbe98fbf5ea27188ff4f80f3810e04,60a9c2f1a2ed99ff69e69bfc4dc23167bdcb121c8a3a3bc8d7a0d15e7f33e8a9,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,hot_100,0.016007342900447287,1.0,0.1723847592206862,-3.976927708205811,0.15157202420282748,-0.016804429968503037,-0.3660097955615864,-0.03574190837271164,-0.00021519541820190486,2.0,0.29991984309500785,-3.4398378049899128,0.10421682649468468,0.0,-0.0019876989648631715,-0.00449123189435241,-0.00012441755722737702,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,92970d2016cd568e61600309cb3ddcb520585e7134ba2605a48ce57ca16873d9,3b8109e54c964a7a28a52418e185b9f82bcb6a4965c5a2ffabad22f74f88df79,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,hot_200,0.014274749972619778,1.0,0.2074621173597786,-3.8632684613754398,0.1343323981878332,0.01827292817058937,-0.252350548731215,-0.01850228235771738,0.00020867318472224302,2.0,0.2992952068175482,-3.4412584871422864,0.10422310324746861,0.0,-0.0013630626874034935,-0.003070549741978734,-0.0001181408044434451,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,2f1d36ff6fdd6ff18b2192f05aca61d3a524e1537d04cd7d261175ead2d42199,a06ea20b6b9e59d330ea2d155f96139cbc834790f2fa3133935af9cd204cffbc,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,ewma_10,0.5530216139995052,2.0,0.36239133922873623,-3.375189559794625,0.11161035338565105,0.173202150039547,0.2357283528495997,0.004219762444464786,0.07662762605044382,2.0,0.26103903673523177,-3.533178766587503,0.1069913626936439,0.0,0.036893107394912916,0.08884972970323801,0.002650118641731841,1,0.75,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,ac1013cf2f5769d5efae3c8a97ea4a0d3763da362fc3992e058b87c4db7d8573,e4f8a7ab3423ff340978a86918d9584b41f4d8024f1b11c2cf8164e2ac978ef3,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,ewma_30,0.04456160820288433,2.0,0.40881436307029234,-3.5018399587693487,0.12158107748482391,0.21962517388110311,0.10907795387487607,-0.005750961654708078,0.007829480759984051,2.0,0.29480926375115024,-3.445566326870053,0.1044894881486671,0.0,0.0031228803789944415,0.0012372899857879815,0.00014824409675504024,1,0.75,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,1d9866b918bd3067a5d4f62c0dd434d4ea2edefe99462df3162493b01c07ec5c,5f06dfdb407cf7f99ceed23536efececbe2b62219242d6c4eb6537fcfb1b2377,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,ewma_60,0.02038016300887839,2.0,0.3283883804884386,-3.6867779335052395,0.12100747114155466,0.13919919129924938,-0.07586002086101473,-0.005177355311438828,0.0022695217675062,2.0,0.2978777121783519,-3.442178653079979,0.10429422048395688,0.0,5.4431951792777156e-05,-0.0021503838042860046,-4.702356795517615e-05,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,03c46d0218123c76c229ec0d7fb7632c383ae32cab4360cec24c07e69631c842,db12a43b9592e1c45dc7a2657a37449fbdccf9e4637072038d02c43d224168c1,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,overdue,0.027222065304663548,0.0,0.1144267328005176,-4.143338276280645,0.15812749974021065,-0.07476245638867163,-0.5324203636364206,-0.04229738391009481,-0.0016281507761195834,2.0,0.30264890263513833,-3.435766077415604,0.10431696629992615,0.0,-0.004716758504993646,-0.008562959468661369,-2.4277751985907203e-05,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,7e75412b0cc67c364e091c334449ad41d16fe4e99798c56f2c02d8f4c11aef14,0f12ab02680bca8faca3319149991bb2507380b40e9f8ee20eb8b9e11d40104e,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,recent_cold,0.01457179550259423,0.0,0.11476531230863046,-4.3020755101698045,0.14555454635772502,-0.07442387688055876,-0.6911575975255797,-0.02972443052760919,-0.0008675916115310023,2.0,0.3004205767750467,-3.4403874859958328,0.104379010414228,0.0,-0.0024884326449020056,-0.003941550888432399,3.7766362315935775e-05,0,1.0,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,2f979e5009349aca99431f97d7c5d834cf6aed88ae8fdf6a2f61857996f99176,23762dd6a201198caa34ea1876c6e85c58996ec8a40226180b9178aa4a9f2d66,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
693,2026-09-04,momentum,0.08243885819244005,2.0,0.25524760318189965,-3.585873554320077,0.11671995542424396,0.06605841399271042,0.025044358324147975,-0.0008898395941281251,0.004356624178850042,2.0,0.30295417552728593,-3.4401655674868854,0.10436549178827971,0.0,-0.005022031397141247,-0.004163469397379771,2.4247736367652428e-05,1,0.75,2.0,0.2979321441301447,-3.444329036884265,0.10434124405191206,0.10874295494095546,0.16658887575995962,0.011488871778203777,True,verified_two_result_sources,2026-09-02T11:25:45+09:00,737726b95f4373a67d58580e30927114e9be998d9be0391d2f00759e57c0270e,c511e1d5ae8f2f0faabb787ebbe946df45fdf244c025a463526b8b23eac33703,e0c96f42547169da34c0f1935fe9597e06cf6cedd31f5a4f412db46ab5eb60db,signal-expert-attribution-oos-v1
