round_index,model_version,model_score,model_max_hits,model_mean_hits,model_ge3,model_ge4
184,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
185,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
186,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
187,feedback-g00331-c01-2d02d2d61a,5.260000,4,1.600000,1,1
188,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
189,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
190,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
191,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
192,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
193,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
194,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
195,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
196,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
197,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
198,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
199,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
200,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
201,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
202,feedback-g00331-c01-2d02d2d61a,2.040000,2,0.400000,0,0
203,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
204,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
205,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
206,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
207,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
208,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
209,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
210,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
211,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
212,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
213,feedback-g00331-c01-2d02d2d61a,1.060000,1,0.600000,0,0
214,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
215,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
216,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
217,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
218,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
219,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
220,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
221,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
222,feedback-g00331-c01-2d02d2d61a,6.260000,5,1.600000,1,1
223,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
224,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
225,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
226,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
227,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
228,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
229,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
230,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
231,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
232,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
233,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
234,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
235,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
236,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
237,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
238,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
239,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
240,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
241,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
242,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
243,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
244,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
245,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
246,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
247,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
248,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
249,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
250,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
251,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
252,feedback-g00331-c01-2d02d2d61a,5.180000,4,0.800000,1,1
253,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
254,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
255,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
256,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
257,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
258,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
259,feedback-g00331-c01-2d02d2d61a,5.240000,4,1.400000,1,1
260,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
261,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
262,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
263,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
264,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
265,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
266,feedback-g00331-c01-2d02d2d61a,5.280000,4,1.800000,1,1
267,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
268,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
269,feedback-g00331-c01-2d02d2d61a,2.180000,2,1.800000,0,0
270,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
271,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
272,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
273,feedback-g00331-c01-2d02d2d61a,3.570000,3,2.200000,1,0
274,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
275,feedback-g00331-c01-2d02d2d61a,3.550000,3,2.000000,1,0
276,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
277,feedback-g00331-c01-2d02d2d61a,5.240000,4,1.400000,1,1
278,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
279,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
280,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
281,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
282,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
283,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
284,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
285,feedback-g00331-c01-2d02d2d61a,5.260000,4,1.600000,1,1
286,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
287,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
288,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
289,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
290,feedback-g00331-c01-2d02d2d61a,1.100000,1,1.000000,0,0
291,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
292,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
293,feedback-g00331-c01-2d02d2d61a,5.280000,4,1.800000,1,1
294,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
295,feedback-g00331-c01-2d02d2d61a,2.120000,2,1.200000,0,0
