round,draw_date,candidate_version,champion_version,candidate_score,champion_score,score_delta,normalized_delta,candidate_max_hits,champion_max_hits,trusted_for_promotion,source_verification,registry_base_data_sha,frozen_at_jst
692,2026-08-28,global-g00001-c01-2ac3662ad1,baseline-5fdb8dc2ad,3.510000,3.510000,0.000000,0.00000000,3,3,true,verified_two_result_sources,12e55f5d26e25b243d0ad754ce4886fed189ae1bc89901d367d8f6aa89ea7403,2026-08-22T06:52:20+09:00
693,2026-09-04,global-g00001-c01-2ac3662ad1,baseline-5fdb8dc2ad,3.530000,3.550000,-0.020000,-0.00227273,3,3,true,verified_two_result_sources,0fdce483829f37c88226c3d0ebeb0321bec34ed144afd986af5f81a8fb7347d0,2026-08-28T23:29:14+09:00
