round_index,selected_config,selected_config_score,gate,regime_stable,regime_shift,regime_volatile,metadata_active,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
637,joint-slow-regime-61d575a245,0.009234572398278863,0.6141223285254762,0.955021432381839,0.044195268765162776,0.0007832988529981029,0.0,1.0,0.18557340325850488,-0.02161835405404,-0.001252948937913459,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
638,joint-slow-regime-61d575a245,0.008593761619686675,0.6035698213930255,0.9662200520493824,0.03338285454353906,0.0003970934070785742,0.0,1.0,0.18461175100173824,-0.02690890335590801,-0.0015124661875917933,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
639,joint-slow-regime-61d575a245,0.007144150222065377,0.5727303384722018,0.955597017733222,0.043638898844649644,0.0007640834221282329,0.0,1.0,0.19154470327011341,0.01027108149042899,0.0005066241060201898,2.0,1.6,0.0,0.0,2.16,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6172143554687497
640,joint-slow-regime-61d575a245,0.00735683551870535,0.5778223530962465,0.9627056981893977,0.036808406312449075,0.0004858954981533048,0.0,1.0,0.1933954679877728,0.018354276134464165,0.0010346170319639886,1.0,1.0,0.0,0.0,1.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6772143554687498
641,joint-slow-regime-61d575a245,0.005304945736326028,0.5525130217961631,0.8941326140808737,0.10158862304076614,0.004278762878360156,0.0,1.0,0.19222292510807465,0.013132914948542407,0.0006786694957225392,3.0,1.2,1.0,0.0,3.47,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6927856445312504
642,joint-slow-regime-61d575a245,0.0051440406879628055,0.5420736464093667,0.949660376841428,0.0497336374175631,0.0006059857410089322,0.0,0.0,0.18907327312273897,-0.002480552930487434,-0.0002000921408358003,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
643,joint-slow-regime-61d575a245,0.004446489605717814,0.5199948647918798,0.9951013572192312,0.004891214194262829,7.428586505939483e-06,0.0,1.0,0.19074058260367066,0.005251754567914713,0.00027640054919647605,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
644,joint-slow-regime-61d575a245,0.002891313539817888,0.5038068619386208,0.9962893815127624,0.0037029595460239787,7.658941213682044e-06,0.0,2.0,0.1910933153527275,0.00758170788497825,0.0003970351724653237,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
645,joint-slow-regime-61d575a245,0.0024059434181650154,0.5076259674533734,0.975403494006895,0.02425041521793407,0.0003460907751709541,0.0,0.0,0.18675723257279953,-0.014540660543098216,-0.0008562912821167695,2.0,1.6,0.0,0.0,2.16,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6172143554687497
646,joint-slow-regime-61d575a245,0.0004402569827416762,0.4766566741983624,0.9075409460072708,0.08870612187266522,0.003752932120063969,0.0,1.0,0.18699833810851524,-0.01379161631830339,-0.0007633478458946991,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
647,joint-slow-regime-61d575a245,0.0014928603382600072,0.4607539317985412,0.6483250516065769,0.31286882271617833,0.038806125677244785,0.0,1.0,0.17999310194332374,-0.0519300722416407,-0.0027628791508257783,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
648,joint-fast-regime-eb79eb934d,0.00032175679761027587,0.09079207719569762,0.45426217389190304,0.482088269796678,0.06364955631141903,0.0,1.0,0.18780147331919633,-0.007407621931572628,-0.0004024326500455533,4.0,1.4,1.0,1.0,5.239999999999999,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.4627856445312495
649,joint-fast-regime-eb79eb934d,7.868774927267431e-05,0.0809488210239634,0.4612218278990539,0.5007408029894268,0.03803736911151932,0.0,0.0,0.18859353821205332,-0.003188554815208633,-0.00017513718522038646,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
650,joint-slow-regime-61d575a245,0.0005427201067305168,0.42073323566043297,0.20888510918196257,0.6761107488128224,0.11500414200521512,0.0,2.0,0.19654750479936314,0.03477677417721958,0.001953987609598376,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
651,joint-slow-regime-61d575a245,0.0022136831989510823,0.38991331815445474,0.036731389124843514,0.6027160557080768,0.3605525551670797,0.0,1.0,0.19225902113469745,0.014017965098342078,0.0007771354285443649,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
652,joint-slow-regime-61d575a245,0.0023656802074293205,0.32146783323516587,0.005971384419638804,0.3116809406561641,0.6823476749241972,0.0,4.0,0.19533547249485095,0.0312596576490165,0.00170996866336047,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
653,joint-slow-regime-61d575a245,0.007314744959806477,0.3020680172164218,0.0021933929337836283,0.13654673438589898,0.8612598726803173,0.0,2.0,0.19152744839990665,0.011658389222901633,0.0006312906125958001,4.0,1.6,1.0,1.0,5.26,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.48278564453125
654,joint-slow-regime-61d575a245,0.007959859574033432,0.28792532526262155,0.0008655761360531183,0.06070491629731516,0.9384295075666318,0.0,2.0,0.1883833148715594,-0.004785158302917036,-0.00026109648750749503,4.0,2.4,1.0,1.0,5.34,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.56278564453125
655,joint-slow-regime-61d575a245,0.009898634174833486,0.29489874301607577,0.0005444372198855145,0.0384464982164261,0.9610090645636885,0.0,4.0,0.19432777528689077,0.026062602774207022,0.001434847765430014,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
656,joint-slow-regime-61d575a245,0.012987454116407796,0.3035122123200397,0.0002597113592756844,0.024588472030533794,0.9751518166101905,0.0,1.0,0.1883452539708772,-0.0047416805311115695,-0.0002815517247766325,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
657,joint-slow-regime-61d575a245,0.01254567658762458,0.32515101831593546,0.003668038953417604,0.083888933618343,0.9124430274282394,0.0,0.0,0.18556600569073878,-0.0194353974143735,-0.001079422902508717,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
658,joint-slow-regime-61d575a245,0.01029523652001051,0.34123733842359727,0.01314602363555943,0.17866962826252772,0.8081843481019129,0.0,1.0,0.1878703672358746,-0.007936471220177932,-0.0004221743988077481,4.0,1.2,1.0,1.0,5.22,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.44278564453125
659,joint-slow-regime-61d575a245,0.011535609720497941,0.34901617628987,0.009212535234418716,0.18454263644820645,0.8062448283173749,0.0,0.0,0.18486587220949777,-0.023498048661672932,-0.0012835332571810715,4.0,1.6,1.0,1.0,5.26,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.48278564453125
660,joint-slow-regime-61d575a245,0.007892592375321963,0.5424538958152902,0.3125195132335425,0.5144981306702338,0.17298235609622378,0.0,2.0,0.19737085441831426,0.03864348972941434,0.002126841585086192,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
661,joint-slow-regime-61d575a245,0.011851395500124305,0.6095336396925213,0.43954069471013274,0.5071720735813224,0.05328723170854479,0.0,2.0,0.18444561303410809,-0.0343411445886348,-0.001649520641211294,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
662,joint-slow-regime-61d575a245,0.01154814667425359,0.6273437199506925,0.6832791836274282,0.3087375957381389,0.007983220634432821,0.0,2.0,0.196485355252772,0.03581686689314978,0.0017925928699697724,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
663,joint-slow-regime-61d575a245,0.010086018686315468,0.617757456859156,0.8318313579073995,0.16563678298514317,0.002531859107457194,0.0,0.0,0.1848904136587322,-0.023839227843461597,-0.0014784597228487267,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
664,joint-slow-regime-61d575a245,0.009262856783159037,0.5890060978901955,0.8832385716766564,0.11464695587955268,0.002114472443790822,0.0,0.0,0.1864088782090933,-0.01635812143965598,-0.0009836291917385137,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
665,joint-slow-regime-61d575a245,0.007501191930238918,0.5549664931122966,0.6628997502662592,0.308336315171423,0.028763934562317687,0.0,2.0,0.1941081009737353,0.02195660900549079,0.0012002324645929568,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
666,joint-slow-regime-61d575a245,0.009667731211332147,0.4862636087673267,0.11696944026336983,0.5672255172064359,0.31580504253019426,0.0,2.0,0.1934660601226764,0.019682327645436093,0.0010508237440983587,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
667,joint-slow-regime-61d575a245,0.009886116167414515,0.3414311429566224,0.005230391864181031,0.24255731788805152,0.7522122902477674,0.0,3.0,0.19081390087727595,0.007099694206146534,0.0004150115889775541,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
668,joint-slow-regime-61d575a245,0.011235972738671773,0.3036180955009593,0.0017092928365851998,0.10510863199987311,0.8931820751635416,0.0,2.0,0.18877783742676257,-0.0031974747550886917,-0.00014800985493934604,4.0,1.6,1.0,1.0,5.26,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.48278564453125
669,joint-slow-regime-61d575a245,0.01100940737187224,0.2909553980162965,0.0005831708049954166,0.04572693872932994,0.9536898904656748,0.0,2.0,0.1891737789870177,-0.0006883613173847003,-3.2388793773652225e-05,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
