round,draw_date,training_rows,selected_research_model,selection_score,champion_tickets,research_tickets,champion_max_hits,research_max_hits,random_mean_max_hits,champion_mean_hits,research_mean_hits,random_mean_ticket_hits,champion_ge3,research_ge3,random_ge3_rate,champion_ge4,research_ge4,random_ge4_rate,champion_score,research_score,random_mean_score,research_delta_vs_champion,research_delta_vs_random
659,2026-01-09,658,stable-9892a39bad,2.699814,01 12 26 29 33 35 37 | 01 12 16 20 26 34 35 | 01 09 12 26 33 34 35 | 01 10 12 26 29 30 35 | 01 12 13 23 29 34 35,09 12 26 29 30 33 35 | 01 12 16 19 22 34 37 | 01 10 12 15 18 20 35 | 01 12 24 26 29 33 34 | 07 12 19 23 26 34 35,2,1,2.531250,0.800000,0.800000,1.287500,0,0,0.500000,0,0,0.062500,2.080000,1.080000,2.881875,-1.000000,-1.801875
660,2026-01-16,659,stable-9892a39bad,2.690559,12 26 29 30 33 34 35 | 01 09 12 13 20 34 35 | 01 07 12 18 29 34 35 | 01 12 14 20 26 29 35 | 01 02 12 15 26 34 35,07 09 12 26 29 30 34 | 01 12 22 27 31 33 35 | 01 03 12 14 29 34 35 | 02 10 12 23 26 35 37 | 01 05 12 20 29 30 33,2,2,2.375000,1.200000,1.200000,1.275000,0,0,0.406250,0,0,0.062500,2.120000,2.120000,2.691562,0.000000,-0.571562
661,2026-01-23,660,stable-9892a39bad,2.683284,01 12 26 27 29 34 35 | 01 04 09 12 16 33 34 | 12 20 26 30 33 34 35 | 01 12 13 15 29 33 35 | 12 16 26 28 29 33 35,01 05 12 26 33 34 35 | 04 07 12 16 27 29 30 | 01 09 12 20 29 30 34 | 07 12 16 29 33 34 35 | 09 12 13 15 34 35 37,3,4,2.250000,2.400000,2.800000,1.318750,1,1,0.250000,0,1,0.062500,3.590000,5.380000,2.516250,1.790000,2.863750
662,2026-01-30,661,stable-9892a39bad,2.718735,01 04 12 26 34 35 37 | 06 09 12 29 30 33 35 | 07 12 15 26 29 33 34 | 12 17 26 30 33 34 35 | 01 12 27 29 34 35 36,01 07 12 26 34 35 36 | 09 12 18 29 30 34 35 | 12 22 26 29 34 35 37 | 04 12 13 16 20 34 35 | 01 10 12 17 29 33 35,2,2,2.375000,0.600000,0.600000,1.306250,0,0,0.406250,0,0,0.031250,2.060000,2.060000,2.671250,0.000000,-0.611250
663,2026-02-06,662,stable-9892a39bad,2.714961,01 12 22 29 30 34 35 | 04 12 16 22 26 35 37 | 09 12 28 33 34 35 37 | 01 07 12 24 26 34 35 | 04 12 13 22 33 34 35,12 26 29 30 34 35 37 | 01 04 07 12 22 28 36 | 01 12 16 22 32 34 35 | 04 12 14 17 28 34 35 | 09 12 16 26 28 33 34,2,2,2.312500,0.600000,0.600000,1.162500,0,0,0.343750,0,0,0.031250,2.060000,2.060000,2.572500,0.000000,-0.512500
664,2026-02-13,663,stable-9892a39bad,2.707500,04 12 13 22 26 34 35 | 01 06 09 12 17 35 37 | 04 12 16 17 34 35 37 | 10 12 20 29 30 33 35 | 12 26 29 30 34 35 37,04 12 20 29 34 35 37 | 01 06 09 12 17 26 34 | 01 07 10 12 13 23 35 | 12 13 22 26 31 34 35 | 04 12 23 26 27 30 34,1,2,2.343750,0.400000,0.600000,1.312500,0,0,0.312500,0,0,0.093750,1.040000,2.060000,2.654688,1.020000,-0.594688
665,2026-02-20,664,stable-9892a39bad,2.694167,04 06 12 22 33 34 35 | 01 10 12 17 26 34 35 | 04 12 26 29 31 34 37 | 01 04 06 12 14 26 34 | 04 12 13 14 17 22 24,04 09 12 22 26 34 35 | 01 07 12 14 29 30 34 | 01 04 06 12 22 28 29 | 10 12 14 17 28 31 35 | 04 12 14 22 29 33 34,3,2,2.375000,1.600000,1.800000,1.275000,1,0,0.406250,0,0,0.031250,3.510000,2.180000,2.668125,-1.330000,-0.488125
666,2026-02-27,665,balanced-ac45a2d3fd,2.688255,04 06 12 18 22 34 35 | 01 12 13 14 22 29 35 | 06 08 12 14 17 19 22 | 06 12 13 22 24 35 37 | 04 08 12 14 16 26 35,01 06 09 12 22 34 35 | 04 06 12 14 22 25 29 | 12 14 17 19 26 30 35 | 04 12 14 15 28 34 35 | 04 12 22 24 26 27 35,2,2,2.593750,1.200000,1.000000,1.431250,0,0,0.531250,0,0,0.093750,2.120000,2.100000,2.993125,-0.020000,-0.893125
667,2026-03-06,666,balanced-ac45a2d3fd,2.675716,06 12 14 17 22 33 35 | 04 08 12 22 23 25 26 | 04 12 14 22 31 34 35 | 02 06 12 13 22 25 34 | 06 12 17 22 23 25 35,04 06 12 13 14 22 34 | 01 08 12 22 23 29 35 | 12 14 16 17 22 33 35 | 02 06 12 22 30 35 37 | 06 10 12 14 22 26 35,2,2,2.125000,1.400000,1.600000,1.237500,0,0,0.187500,0,0,0.031250,2.140000,2.160000,2.337813,0.020000,-0.177812
668,2026-03-13,667,stable-9892a39bad,2.692971,06 12 13 20 22 33 35 | 12 14 17 22 24 29 34 | 12 17 22 23 33 34 35 | 06 09 12 17 22 29 33 | 01 04 05 12 14 22 33,06 09 12 17 22 33 35 | 01 12 13 22 25 26 34 | 04 12 20 22 29 30 35 | 04 12 22 31 33 34 35 | 01 04 06 12 14 22 28,3,3,2.500000,2.000000,1.800000,1.218750,1,1,0.531250,0,0,0.093750,3.550000,3.530000,2.878125,-0.020000,0.651875
